StartTime,EndTime,DK_Load,NE_Load,IT_Load,PO_Load,HU_Load,SP_Load,SE_Load,DE_Load,UK_Load,Wind_Onshore_SP,Wind_Onshore_PO,Solar_IT,Solar_DE,Wind_Offshore_NE,Biomass_IT,Solar_NE,Hydro_Water_Reservoir_IT,Hydro_Pumped_Storage_IT,Biomass_PO,Hydro_Pumped_Storage_PO,Hydro_Water_Reservoir_DE,Solar_SE,Wind_Offshore_SP,Wind_Offshore_IT,Solar_SP,Hydro_Run-of-river_and_poundage_DE,Hydro_Run-of-river_and_poundage_SP,Wind_Offshore_DK,Biomass_SP,Hydro_Run-of-river_and_poundage_PO,Wind_Onshore_IT,Hydro_Water_Reservoir_SP,Other_renewable_DE,Geothermal_DE,Hydro_Pumped_Storage_DE,Biomass_DK,Geothermal_SP,Solar_HU,Hydro_Pumped_Storage_SP,Wind_Onshore_DK,Marine_SP,Hydro_Run-of-river_and_poundage_NE,Wind_Onshore_UK,Hydro_Run-of-river_and_poundage_IT,Wind_Onshore_NE,Hydro_Run-of-river_and_poundage_HU,Solar_PO,Geothermal_IT,Other_renewable_SP,Biomass_HU,Other_renewable_HU,Wind_Onshore_DE,Hydro_Water_Reservoir_PO,Wind_Onshore_HU,Geothermal_HU,Wind_Offshore_DE,Wind_Onshore_SE,Hydro_Water_Reservoir_HU,Biomass_NE,Hydro_Water_Reservoir_SE,Solar_DK,Biomass_DE,Marine_SE,green_energy_SP,green_energy_UK,green_energy_DE,green_energy_DK,green_energy_HU,green_energy_SE,green_energy_IT,green_energy_PO,green_energy_NE,label
1640991600,1640995200,3314.0,10326.0,21121.0,14438.0,4254.0,20827.0,15331.0,42196.0,677.0,6398.0,4244.0,0.0,0.0,1998.0,677.0,0.0,242.0,1.0,221.0,0.0,119.0,0.0,0.0,0.0,75.0,1424.0,1082.0,1875.0,533.0,176.0,2024.0,1347.0,126.0,26.0,488.0,468.0,0.0,0.0,1711.0,1308.0,0.0,0.0,0.0,2115.0,1516.0,11.0,0.0,639.0,98.0,132.0,7.0,24850.0,0.0,126.0,0.0,5688.0,4045.0,9.0,21.0,7015.0,1.0,4333.0,0.0,11244.0,0.0,37054.0,3652.0,285.0,11060.0,5698.0,4641.0,3535.0,3
1640995200,1640998800,3218.0,40706.0,19756.0,13935.0,16457.0,19530.0,15331.0,165125.0,1244.0,6456.0,4071.0,0.0,0.0,6884.0,683.0,0.0,200.0,0.0,221.0,0.0,378.0,0.0,0.0,0.0,75.0,5690.0,1046.0,1904.0,524.0,199.0,2140.0,746.0,504.0,104.0,2274.0,511.0,0.0,0.0,1884.0,1189.0,0.0,0.0,0.0,1951.0,5739.0,44.0,0.0,640.0,96.0,523.0,30.0,95800.0,0.0,743.0,0.0,23112.0,4021.0,36.0,85.0,7086.0,1.0,17295.0,0.0,10827.0,0.0,145157.0,3605.0,1376.0,11107.0,5614.0,4491.0,12708.0,3
1640998800,1641002400,3126.0,39465.0,18685.0,13579.0,15426.0,18383.0,15270.0,160415.0,1131.0,6144.0,3997.0,0.0,0.0,5518.0,670.0,0.0,155.0,0.0,223.0,0.0,132.0,0.0,0.0,0.0,75.0,5683.0,1045.0,1738.0,532.0,216.0,2233.0,733.0,504.0,106.0,1392.0,519.0,0.0,0.0,2515.0,1051.0,0.0,0.0,0.0,1831.0,5494.0,44.0,0.0,639.0,96.0,516.0,28.0,91464.0,0.0,902.0,0.0,21798.0,3948.0,36.0,85.0,7088.0,1.0,17322.0,0.0,11140.0,0.0,138401.0,3309.0,1526.0,11036.0,5528.0,4436.0,11097.0,3
1641002400,1641006000,3080.0,38923.0,18124.0,13397.0,14781.0,17680.0,15150.0,158035.0,1091.0,5943.0,4105.0,0.0,0.0,5512.0,656.0,0.0,158.0,0.0,225.0,0.0,167.0,0.0,0.0,0.0,75.0,5685.0,1049.0,1436.0,528.0,238.0,2368.0,755.0,504.0,108.0,710.0,558.0,0.0,0.0,2913.0,1048.0,0.0,0.0,0.0,1842.0,5684.0,44.0,0.0,648.0,98.0,507.0,28.0,86282.0,0.0,945.0,0.0,21818.0,3763.0,36.0,86.0,6746.0,1.0,17343.0,0.0,11361.0,0.0,132617.0,3043.0,1560.0,10509.0,5672.0,4568.0,11282.0,3
1641006000,1641009600,3044.0,38211.0,18400.0,13364.0,14630.0,17396.0,15387.0,157016.0,969.0,5836.0,4085.0,0.0,0.0,5668.0,649.0,0.0,160.0,0.0,229.0,0.0,299.0,0.0,0.0,0.0,75.0,5676.0,1031.0,1505.0,533.0,245.0,2151.0,719.0,504.0,108.0,385.0,468.0,0.0,0.0,2957.0,878.0,0.0,0.0,0.0,1818.0,5492.0,44.0,0.0,648.0,96.0,506.0,28.0,80912.0,0.0,673.0,0.0,21773.0,3597.0,36.0,85.0,7173.0,1.0,17354.0,0.0,11247.0,0.0,127011.0,2852.0,1287.0,10770.0,5426.0,4559.0,11245.0,3
1641009600,1641013200,3130.0,38146.0,19223.0,13449.0,14688.0,17544.0,15737.0,154552.0,896.0,5685.0,3902.0,0.0,0.0,5828.0,644.0,0.0,159.0,0.0,230.0,0.0,270.0,0.0,0.0,0.0,75.0,5637.0,1016.0,1391.0,534.0,242.0,1820.0,611.0,504.0,108.0,322.0,505.0,0.0,0.0,2854.0,827.0,0.0,0.0,0.0,1930.0,5144.0,44.0,0.0,649.0,93.0,504.0,28.0,77784.0,0.0,697.0,0.0,17212.0,3355.0,36.0,85.0,7497.0,1.0,17401.0,0.0,10868.0,0.0,119238.0,2724.0,1309.0,10852.0,5202.0,4374.0,11057.0,3
1641013200,1641016800,3238.0,38956.0,19738.0,13444.0,14960.0,17866.0,16054.0,154275.0,871.0,5583.0,3837.0,43.0,0.0,6268.0,642.0,0.0,206.0,0.0,232.0,0.0,132.0,0.0,0.0,0.0,75.0,5640.0,1018.0,1407.0,539.0,234.0,1793.0,779.0,504.0,108.0,376.0,554.0,0.0,0.0,2850.0,617.0,0.0,0.0,0.0,2192.0,4644.0,44.0,0.0,648.0,91.0,511.0,27.0,75539.0,0.0,832.0,0.0,18988.0,3135.0,36.0,85.0,7973.0,1.0,17573.0,0.0,10935.0,0.0,118860.0,2579.0,1450.0,11108.0,5524.0,4303.0,10997.0,1
1641016800,1641020400,3378.0,39968.0,20289.0,13527.0,15034.0,17806.0,16455.0,157356.0,860.0,5546.0,3891.0,900.0,7.0,6215.0,644.0,0.0,239.0,0.0,231.0,0.0,152.0,0.0,0.0,0.0,144.0,5652.0,1029.0,1098.0,527.0,227.0,1759.0,768.0,504.0,108.0,581.0,720.0,0.0,127.0,2992.0,474.0,0.0,0.0,0.0,2484.0,4082.0,44.0,21.0,648.0,95.0,524.0,28.0,70492.0,0.0,868.0,0.0,18877.0,2937.0,36.0,83.0,8820.0,1.0,17839.0,0.0,11101.0,0.0,114212.0,2293.0,1627.0,11757.0,6674.0,4370.0,10380.0,1
1641020400,1641024000,3537.0,40808.0,21469.0,14202.0,15259.0,18533.0,16943.0,163000.0,922.0,5625.0,3951.0,2457.0,2175.0,5754.0,649.0,2.0,201.0,0.0,234.0,34.0,130.0,1.0,0.0,0.0,2024.0,5713.0,1037.0,734.0,525.0,207.0,1847.0,729.0,504.0,108.0,592.0,714.0,0.0,1029.0,3305.0,346.0,0.0,0.0,0.0,2204.0,4682.0,44.0,114.0,647.0,94.0,522.0,30.0,65575.0,0.0,786.0,0.0,16437.0,2713.0,36.0,84.0,9060.0,12.0,18149.0,0.0,13339.0,0.0,109383.0,1806.0,2447.0,11774.0,8005.0,4540.0,10522.0,1
1641024000,1641027600,3714.0,41742.0,22735.0,14851.0,15551.0,20018.0,17476.0,171858.0,1017.0,5201.0,3732.0,3817.0,10187.0,6439.0,647.0,33.0,184.0,88.0,232.0,22.0,86.0,7.0,0.0,0.0,5220.0,5739.0,1049.0,703.0,508.0,197.0,1648.0,747.0,504.0,100.0,650.0,675.0,0.0,2264.0,3362.0,232.0,0.0,0.0,0.0,2056.0,4754.0,44.0,219.0,647.0,92.0,520.0,32.0,61218.0,0.0,701.0,0.0,16631.0,2441.0,36.0,84.0,9220.0,45.0,18229.0,0.0,16179.0,0.0,113344.0,1655.0,3597.0,11668.0,9087.0,4402.0,11310.0,1
